ID, Distance
1, 0.265992
2, 0.515849
4, 0.752609
4, 0.970148
5, 1.162839
6, 1.325699
7, 1.454514
8, 1.545953
10, 1.608269
12, 1.577535
13, 1.396236
12, 1.506243
14, 1.250360
9, 1.597650
15, 1.072389
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.048462
25, -1.227196
26, -1.373942
28, -1.484905
28, -1.557213
29, -1.588998
30, -1.579436
34, -1.148390
31, -1.528776
32, -1.438327
33, -1.310429
36, -0.956402
36, -0.739429
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.752609
4, 0.977659
12, 1.503364
7, 1.449881
8, 1.541055
6, 1.318170
9, 1.595160
5, 1.160489
13, 1.389885
10, 1.606338
14, 1.243465
16, 0.866926
15, 1.079900
12, 1.573214
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
23, -0.842363
24, -1.055991
25, -1.220617
29, -1.587057
22, -0.614230
30, -1.576993
28, -1.552874
26, -1.367381
28, -1.481955
21, -0.369964
32, -1.433756
31, -1.523917
33, -1.302918
36, -0.963931
36, -0.739429
34, -1.146123
37, -0.503086
38, -0.253484
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.984978
4, 0.752609
8, 1.531564
12, 1.497738
12, 1.564831
7, 1.440985
10, 1.602578
6, 1.307385
9, 1.590298
13, 1.380705
14, 1.230354
15, 1.086901
16, 0.866926
17, 0.639284
20, 0.141441
18, 0.395353
20, -0.115883
21, -0.369964
22, -0.614230
23, -0.842363
24, -1.062966
5, 1.155968
25, -1.214992
26, -1.358038
28, -1.476186
28, -1.544437
29, -1.583277
30, -1.572219
31, -1.514479
32, -1.424959
34, -1.141753
33, -1.292118
36, -0.971217
37, -0.503086
38, -0.253484
36, -0.739429
39, 0.002921
0, 0.009500
1, 0.265992
2, 0.515849
4, 0.988645
4, 0.752609
7, 1.432252
12, 1.555305
10, 1.598042
12, 1.489806
5, 1.153346
13, 1.370131
8, 1.521861
9, 1.584098
14, 1.224853
6, 1.296604
15, 1.091755
16, 0.866926
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
23, -0.842363
24, -1.067816
25, -1.207761
22, -0.614230
26, -1.347375
28, -1.468029
28, -1.534892
29, -1.578695
30, -1.566132
31, -1.504830
32, -1.416215
33, -1.281334
34, -1.139415
36, -0.974899
36, -0.739429
37, -0.503086
38, -0.252854
39, 0.002921
1, 0.265992
2, 0.515849
0, 0.009500
4, 0.752609
4, 0.986843
5, 1.151057
7, 1.422445
6, 1.286989
8, 1.512156
9, 1.576724
10, 1.592966
12, 1.547758
12, 1.480100
13, 1.360488
14, 1.219267
16, 0.866926
15, 1.090837
17, 0.639284
18, 0.395353
20, 0.141441
20, -0.115883
21, -0.369964
24, -1.069010
23, -0.842363
25, -1.198111
22, -0.614230
26, -1.339455
28, -1.458418
28, -1.525234
29, -1.573261
30, -1.558892
31, -1.495166
32, -1.406409
37, -0.503086
36, -0.739429
36, -0.973561
38, -0.251126
33, -1.271719
34, -1.131867
39, 0.002921
